protein,mean_training_abundance,abundance_rank,abundance_tertile,pearson_r,mean_test_observed,mean_test_predicted,protein_name,category
Q14520,0.006883369982518244,34,High,0.8778685331344604,0.0066442834,0.006624803,Factor VII-activating protease,Protease/Inhibitors
P19827,0.006681213683050689,35,High,0.28111618757247925,0.005062648,0.0047097923,Inter-alpha-trypsin inhibitor heavy chain H1,Protease/Inhibitors
P69905,0.00664652671594443,36,High,0.3496415913105011,0.005169562,0.007168232,Hemoglobin subunit alpha,Other/Mixed
P04114,0.006424948996690279,37,High,0.253264456987381,0.005569541,0.006578665,Apolipoprotein B-100,Apolipoproteins
P02743,0.006392381194695626,38,High,0.5896474719047546,0.0062420196,0.0047626863,Serum amyloid P-component,Other/Mixed
B9A064,0.006373387864241464,39,High,0.6337507367134094,0.005921558,0.006765765,Immunoglobulin lambda-like polypeptide 5,Immunoglobulins
P01860,0.005685226032264348,40,High,0.3067588210105896,0.0058760145,0.005558898,Immunoglobulin heavy constant gamma 3,Immunoglobulins
P0C0L4,0.005440878458372508,41,High,0.7988795042037964,0.004713549,0.006114912,Complement C4-A,Complement System
P03951,0.005266666681449185,42,High,0.6906670331954956,0.0050625615,0.004539653,Coagulation factor XI,Coagulation/Fibrinogen
P02776,0.005246355201674799,43,High,0.4670511782169342,0.0064231306,0.0038674653,Platelet factor 4,Coagulation/Fibrinogen
P55056,0.005203542052765646,44,High,0.595963716506958,0.005875673,0.0051045725,Apolipoprotein C-IV,Apolipoproteins
P02787,0.005164182624344782,45,High,0.38302311301231384,0.0037347549,0.005440108,Serotransferrin,Transport/Binding
P00742,0.005132185094159872,46,High,0.6844193339347839,0.0060429918,0.005060072,Coagulation factor X,Coagulation/Fibrinogen
P04264,0.005088859776794038,47,High,0.8121729493141174,0.006020306,0.006102442,"Keratin, type II cytoskeletal 1",Cytoskeletal
P02749,0.004926911246863139,48,High,0.13754132390022278,0.005868244,0.005433322,Beta-2-glycoprotein 1,Transport/Binding
Q14624,0.004538172135400962,49,High,0.7704406380653381,0.0055268966,0.0037085593,Inter-alpha-trypsin inhibitor heavy chain H4,Protease/Inhibitors
P02760,0.0044732236546387695,50,High,0.15777753293514252,0.0030406837,0.0040770643,Protein AMBP,Transport/Binding
P07225,0.0044655246389078175,51,High,0.597938060760498,0.0047740117,0.004682921,Vitamin K-dependent protein S,Coagulation/Fibrinogen
P0DOX7,0.004252190601039525,52,High,0.9993796944618225,0.007549693,0.004634414,Immunoglobulin kappa light chain,Immunoglobulins
P00738,0.004086748440839458,53,High,0.7433425188064575,0.0025770187,0.0031521611,Haptoglobin,Transport/Binding
P27169,0.003958046682911986,54,High,0.5838449001312256,0.0035597167,0.003476354,Serum paraoxonase/arylesterase 1,Metabolic Enzymes
P0DJI8,0.003925274676473096,55,High,0.5086168050765991,0.0053252485,0.0046947086,Serum amyloid A-1 protein,Other/Mixed
P13645,0.0038809298221454316,56,High,0.7458542585372925,0.00461341,0.0054049497,"Keratin, type I cytoskeletal 10",Cytoskeletal
P01023,0.003699746728498872,57,High,0.4692709147930145,0.001979068,0.0029611487,Alpha-2-macroglobulin,Transport/Binding
P03952,0.0036762436272112166,58,High,0.5923333168029785,0.005831498,0.0058737397,Plasma kallikrein,Protease/Inhibitors
P01764,0.00358523656615961,59,Middle,0.7741960883140564,0.0027601712,0.0027828203,Immunoglobulin heavy variable 3-23,Immunoglobulins
P02746,0.0035511129955307225,60,Middle,0.7927845120429993,0.0044301413,0.0033873767,Complement C1q subcomponent subunit B,Complement System
P05154,0.0035020745485508376,61,Middle,0.7965231537818909,0.0037559029,0.0043352405,Plasma serine protease inhibitor,Protease/Inhibitors
P00747,0.0034190351709948224,62,Middle,0.8241586089134216,0.004603178,0.0049270066,Plasminogen,Protease/Inhibitors
P01861,0.003316009307887691,63,Middle,0.5658532977104187,0.0036561214,0.0043530925,Immunoglobulin heavy constant gamma 4,Immunoglobulins
P00739,0.003278947401900514,64,Middle,0.5898486375808716,0.0022606465,0.0026071821,Haptoglobin-related protein,Transport/Binding
P60709,0.0032534980287111425,65,Middle,0.730029821395874,0.0031424179,0.004700475,"Actin, cytoplasmic 1",Cytoskeletal
P02747,0.0031796138069057345,66,Middle,0.8282749056816101,0.004469903,0.002836554,Complement C1q subcomponent subunit C,Complement System
P06396,0.0030957424074035153,67,Middle,0.48127490282058716,0.0043973606,0.002985602,Gelsolin,Cytoskeletal
P06702,0.0030940394408361,68,Middle,0.5183145403862,0.0021536637,0.003574086,Protein S100-A9,Other/Mixed
P01593,0.0029641489281226306,69,Middle,-0.03390339016914368,0.00022881098,0.002048073,Immunoglobulin kappa variable 1D-33,Immunoglobulins
P02775,0.002940197255805227,70,Middle,0.6354105472564697,0.003788393,0.0026687528,Platelet basic protein,Coagulation/Fibrinogen
P02788,0.0029259446950771935,71,Middle,-0.032295480370521545,0.002633047,0.0019312982,Lactotransferrin,Transport/Binding
P01766,0.0029204349649213667,72,Middle,0.41766589879989624,0.003115514,0.0029911287,Immunoglobulin heavy variable 3-13,Immunoglobulins
P10720,0.002917792688596865,73,Middle,0.7997986674308777,0.0018090904,0.001909573,Platelet factor 4 variant,Coagulation/Fibrinogen
P08603,0.002904100845304754,74,Middle,0.3123989999294281,0.0019086534,0.0031198484,Complement factor H,Complement System
P06312,0.002892243699620519,75,Middle,0.745978593826294,0.0022832672,0.0027843467,Immunoglobulin kappa variable 4-1,Immunoglobulins
P04070,0.002868237667711416,76,Middle,0.5172709226608276,0.0031286515,0.0019996818,Vitamin K-dependent protein C,Coagulation/Fibrinogen
P00740,0.0027382152443968365,77,Middle,0.6454246044158936,0.0037103265,0.0027889856,Coagulation factor IX,Coagulation/Fibrinogen
P35908,0.002735921077614144,78,Middle,0.689433753490448,0.003458719,0.0033213296,"Keratin, type II cytoskeletal 2 epidermal",Cytoskeletal
P07737,0.0026809863347664097,79,Middle,-0.010588427074253559,0.0024016325,0.0029464099,Profilin-1,Cytoskeletal
P05090,0.002527999105457105,80,Middle,0.6484109163284302,0.0018280692,0.0028210287,Apolipoprotein D,Apolipoproteins
P02765,0.0023571592072088843,81,Middle,0.20707516372203827,0.0031117215,0.003164806,Alpha-2-HS-glycoprotein,Transport/Binding
O14791,0.0023508461672922506,82,Middle,0.6058171987533569,0.0021191482,0.0026093887,Apolipoprotein L1,Apolipoproteins
P35527,0.0023359756983828742,83,Middle,0.6994420289993286,0.0029527438,0.0025816397,"Keratin, type I cytoskeletal 9",Cytoskeletal
P05155,0.0022938307067151666,84,Middle,0.36581477522850037,0.002479741,0.002417663,Plasma protease C1 inhibitor,Complement System
Q06033,0.002234462497154804,85,Middle,0.3390079736709595,0.0022759787,0.0010615026,Inter-alpha-trypsin inhibitor heavy chain H3,Protease/Inhibitors
P08697,0.002126389398375983,86,Middle,0.5254057049751282,0.0010137474,0.0016181467,Alpha-2-antiplasmin,Coagulation/Fibrinogen
P04433,0.0021070388598552663,87,Middle,0.9699106812477112,0.0015057346,0.0017484727,Immunoglobulin kappa variable 3-11,Immunoglobulins
P24844,0.002085549530251119,88,Middle,0.9994704127311707,0.0027644564,0.0032265738,Myosin regulatory light polypeptide 9,Cytoskeletal
P02748,0.0019481800544227706,89,Middle,0.385124146938324,0.0017076377,0.0022075544,Complement component C9,Complement System
P22891,0.001942435958975785,90,Middle,0.5785872340202332,0.0021056244,0.0018451543,Vitamin K-dependent protein Z,Coagulation/Fibrinogen
P05546,0.0019215853983202266,91,Middle,0.25061917304992676,0.0016546308,0.0015957358,Heparin cofactor 2,Coagulation/Fibrinogen
Q03591,0.001813667069964771,92,Middle,0.3140013813972473,0.0014191949,0.0012873284,Complement factor H-related protein 1,Complement System
Q92954,0.0017359427012580634,93,Middle,0.8387513160705566,0.0018707991,0.0017985161,Proteoglycan 4,Other/Mixed
O43866,0.0017111452517248596,94,Middle,0.9395350217819214,0.0013078819,0.0028585524,CD5 antigen-like,Other/Mixed
P02745,0.0017079318905396503,95,Middle,0.890788733959198,0.0026702345,0.0015009606,Complement C1q subcomponent subunit A,Complement System
P02790,0.0016802958664981016,96,Middle,0.6676363945007324,0.0018484516,0.0023907584,Hemopexin,Transport/Binding
P00748,0.001642968134547118,97,Middle,0.414634108543396,0.0024017363,0.001953426,Coagulation factor XII,Coagulation/Fibrinogen
P01615,0.0015515215707390514,98,Middle,0.9309244155883789,0.0016982835,0.0018045583,Immunoglobulin kappa variable 2D-28,Immunoglobulins
P18065,0.0015147762364459633,99,Middle,0.9464226365089417,0.0011604892,0.0013637127,Insulin-like growth factor-binding protein 2,Transport/Binding
P00751,0.001456098865846138,100,Middle,0.5464288592338562,0.0017245114,0.0017711895,Complement factor B,Complement System
P08727,0.0014510187493932466,101,Middle,0.9710034132003784,0.0012152111,0.0008356342,"Keratin, type I cytoskeletal 19",Cytoskeletal
P49908,0.0013965119424516413,102,Middle,0.8339270353317261,0.0014776781,0.0017854583,Selenoprotein P,Transport/Binding
P81605,0.0013464125141733523,103,Middle,0.5603277683258057,0.0013357811,0.0025268993,Dermcidin,Other/Mixed
P15169,0.00128631778251437,104,Middle,0.631482720375061,0.0010422365,0.0015711257,Carboxypeptidase N catalytic chain,Protease/Inhibitors
P01011,0.0012515339591284797,105,Middle,0.36540544033050537,0.0011909204,0.0019313802,Alpha-1-antichymotrypsin,Protease/Inhibitors
P12259,0.0012455741110846445,106,Middle,0.9020274877548218,0.001611049,0.0012862391,Coagulation factor V,Coagulation/Fibrinogen
Q13790,0.001213445994075335,107,Middle,0.6237670183181763,0.000688372,0.001046711,Apolipoprotein F,Apolipoproteins
P20851,0.0011915800131178734,108,Middle,0.44937384128570557,0.002163869,0.0011884079,C4b-binding protein beta chain,Complement System
P02774,0.0011646028475636048,109,Middle,0.780320405960083,0.0011141717,0.0013698519,Vitamin D-binding protein,Transport/Binding
Q13103,0.0011347373904809445,110,Middle,0.6818029880523682,0.0008350125,0.001051821,Secreted phosphoprotein 24,Other/Mixed
O75636,0.001130091397246722,111,Middle,0.7179650664329529,0.0011345409,0.0011917636,Ficolin-3,Complement System
P07358,0.0011297715721724534,112,Middle,0.8073185682296753,0.001128833,0.0015076948,Complement component C8 beta chain,Complement System
P00736,0.0011013358556170164,113,Middle,0.36300328373908997,0.0010699613,0.0009842225,Complement C1r subcomponent,Complement System
P02751,0.001091873322544037,114,Middle,0.6605039238929749,0.0016057242,0.0019680033,Fibronectin,Transport/Binding
P07996,0.0010722784058812024,115,Middle,0.4332427680492401,0.001039324,0.00083452696,Thrombospondin-1,Transport/Binding
P09871,0.0010543847155322253,116,Middle,0.3597070872783661,0.0012215155,0.00081865676,Complement C1s subcomponent,Complement System
P67936,0.0010366208028213168,117,Low,0.780091404914856,0.0007533129,0.0007767055,Tropomyosin alpha-4 chain,Cytoskeletal
P02763,0.0010221968075350128,118,Low,0.5412214994430542,0.0006219178,0.0009730876,Alpha-1-acid glycoprotein 1,Transport/Binding
P01591,0.0009774827325462485,119,Low,0.08944249153137207,0.0007003603,0.0012783448,Immunoglobulin J chain,Immunoglobulins
P17936,0.0009283056056994742,120,Low,0.9477673768997192,0.00078369415,0.00095589337,Insulin-like growth factor-binding protein 3,Transport/Binding
Q5TB80,0.0009244424426346408,121,Low,0.1028807982802391,0.0006450871,0.00086148875,Centrosomal protein of 162 kDa,Other/Mixed
Q9UK55,0.0009192827697422593,122,Low,0.4695121645927429,0.0007830482,0.001032363,Protein Z-dependent protease inhibitor,Protease/Inhibitors
P07360,0.0009059830512175754,123,Low,0.6058936715126038,0.0004887479,0.0009231173,Complement component C8 gamma chain,Complement System
P18428,0.0009048581891573822,124,Low,0.3341548442840576,0.0012062418,0.0009113769,Lipopolysaccharide-binding protein,Transport/Binding
P02741,0.0008825581295952665,125,Low,0.7353118062019348,0.000436279,0.0005438682,C-reactive protein,Other/Mixed
P00746,0.0008711897966298437,126,Low,0.8131198287010193,0.0010148052,0.0011684644,Complement factor D,Complement System
P05452,0.0008309157619404104,127,Low,0.6436527967453003,0.0012396926,0.00062744354,Tetranectin,Other/Mixed
O95445,0.0008252080997150268,128,Low,0.5154321193695068,0.0004589563,0.0007962907,Apolipoprotein M,Apolipoproteins
P01700,0.0007738450903985143,129,Low,-0.01999834179878235,3.3003787e-05,0.00059716176,Immunoglobulin lambda variable 1-47,Immunoglobulins
P63261,0.0007532818138886578,130,Low,0.9506529569625854,0.0005609565,0.0005446226,"Actin, cytoplasmic 2",Cytoskeletal
P04406,0.000738993031785299,131,Low,0.6242402791976929,0.0005921422,0.0009517173,Glyceraldehyde-3-phosphate dehydrogenase,Metabolic Enzymes
P01031,0.000686839547491473,132,Low,0.6029837131500244,0.00063521834,0.0005419097,Complement C5,Complement System
P27918,0.0006768649962665704,133,Low,0.7674883604049683,0.0005399579,0.0007083212,Properdin,Complement System
P13671,0.0006657371707112794,134,Low,0.48755666613578796,0.0009305562,0.00066198845,Complement component C6,Complement System
P62805,0.0006609571430795791,135,Low,0.015132052823901176,0.0004927287,0.0011888519,Histone H4,Other/Mixed
P35579,0.0006609267627833501,136,Low,0.189785897731781,0.0003757202,0.0004680523,Myosin-9,Cytoskeletal
P61626,0.0006553255930056902,137,Low,0.03210294246673584,0.00048761148,0.0011324824,Lysozyme C,Metabolic Enzymes
P01599,0.0006194900549477321,138,Low,-0.046904001384973526,0.00038839033,0.0003454194,Immunoglobulin kappa variable 1-17,Immunoglobulins
Q9Y490,0.0006124803605835557,139,Low,0.8607375025749207,0.00061579165,0.00081902073,Talin-1,Cytoskeletal
P61224,0.0005982481484883098,140,Low,0.6108493208885193,0.0004996366,0.0008840749,Ras-related protein Rap-1b,Other/Mixed
P80748,0.0005977145191069035,141,Low,0.09154195338487625,0.00021650354,0.0006908192,Immunoglobulin lambda variable 3-21,Immunoglobulins
Q9BXR6,0.000589887449875883,142,Low,0.5837870240211487,0.0003230329,0.0005179987,Complement factor H-related protein 5,Complement System
P01877,0.0005798580564790969,143,Low,0.2620624005794525,0.00044540636,0.00064539857,Immunoglobulin heavy constant alpha 2,Immunoglobulins
P04217,0.0005665927723677457,144,Low,0.8307904601097107,0.00050488894,0.00081360695,Alpha-1B-glycoprotein,Transport/Binding
P08514,0.0005663701555791181,145,Low,0.9322519898414612,0.0005323108,0.000719376,Integrin alpha-IIb,Cytoskeletal
P01019,0.000564614030248524,146,Low,0.570179283618927,0.0005160878,0.0006208526,Angiotensinogen,Other/Mixed
P09211,0.0005575518093117967,147,Low,-0.02257571741938591,0.00029979344,0.001148117,Glutathione S-transferase P,Metabolic Enzymes
P63104,0.0005545913142241233,148,Low,0.9428251385688782,0.0006123107,0.00097189395,14-3-3 protein zeta/delta,Other/Mixed
P07355,0.0005525348716457146,149,Low,-0.021599670872092247,0.0003073759,0.0009766304,Annexin A2,Cytoskeletal
Q6Q788,0.0005467733637074836,150,Low,0.47749412059783936,0.00067530526,0.0007127303,Apolipoprotein A-V,Apolipoproteins
P36955,0.0005431693242473546,151,Low,0.608709454536438,0.0006473051,0.0008011248,Pigment epithelium-derived factor,Transport/Binding
P35858,0.0005305100418955483,152,Low,0.5190039277076721,0.00051930017,0.0006587655,Insulin-like growth factor-binding protein complex acid labile subunit,Transport/Binding
P05109,0.00047229557890850427,153,Low,0.15391400456428528,0.00013734582,0.0008361858,Protein S100-A8,Other/Mixed
P35442,0.0004544363929838682,154,Low,0.024172382429242134,1.5150019e-05,0.00010199975,Thrombospondin-2,Transport/Binding
P07357,0.0004246215678040674,155,Low,0.3805232644081116,0.0002557295,0.00036169958,Complement component C8 alpha chain,Complement System
P02730,0.0004157897661565304,156,Low,0.8224328756332397,0.00068398623,0.0006559418,Band 3 anion transport protein,Cytoskeletal
P08709,0.00041450103744634936,157,Low,0.41230425238609314,0.00050329434,0.0003782682,Coagulation factor VII,Coagulation/Fibrinogen
P23528,0.0004087778363576635,158,Low,0.8060612678527832,0.0007188065,0.00054310134,Cofilin-1,Cytoskeletal
Q96IY4,0.0004063003730654646,159,Low,0.09076482057571411,0.00044532176,0.00043120756,Carboxypeptidase B2,Protease/Inhibitors
P49747,0.00040328918532240687,160,Low,0.6107640862464905,0.00027197838,0.0003306122,Cartilage oligomeric matrix protein,Transport/Binding
P60660,0.0004009369511762487,161,Low,0.8098267912864685,0.00043669468,0.00070998824,Myosin light polypeptide 6,Cytoskeletal
P02533,0.0003776244259305733,162,Low,0.46329736709594727,0.00022642846,0.00024805305,"Keratin, type I cytoskeletal 14",Cytoskeletal
P27105,0.0003626815198365399,163,Low,0.7822141051292419,0.00032348454,0.00065627514,Stomatin,Other/Mixed
P19652,0.0003626745657654544,164,Low,0.4871801435947418,0.00040081973,0.00057374896,Alpha-1-acid glycoprotein 2,Transport/Binding
P06733,0.0003563571861876786,165,Low,0.027812054380774498,0.00039692162,0.0011477466,Alpha-enolase,Metabolic Enzymes
P08519,0.000353561202644856,166,Low,0.09189919382333755,0.00027915306,0.00078094983,Apolipoprotein(a),Apolipoproteins
P62937,0.00035236037847397213,167,Low,0.5503812432289124,0.0002494328,0.0006666429,Peptidyl-prolyl cis-trans isomerase A,Metabolic Enzymes
P05106,0.0003274074643692413,168,Low,0.9646431803703308,0.00036924254,0.0005167362,Integrin beta-3,Cytoskeletal
P18206,0.000322796793281169,169,Low,0.9410197138786316,0.00038737778,0.00043117098,Vinculin,Cytoskeletal
P26038,0.0003007410933011673,170,Low,0.49265435338020325,0.00036069253,0.0009155972,Moesin,Cytoskeletal
P48740,0.0002941817596600845,171,Low,0.27660247683525085,0.000614578,0.00043631493,Mannan-binding lectin serine protease 1,Protease/Inhibitors
P10643,0.00028923446341489893,172,Low,0.528009831905365,0.00030202244,0.00030194136,Complement component C7,Complement System
P01880,0.000268555298900784,173,Low,0.9964920282363892,0.0009533032,0.00065773993,Immunoglobulin heavy constant delta,Immunoglobulins
P51884,0.00025566811873489395,174,Low,0.9198889136314392,4.4570792e-05,0.00014531848,Lumican,Other/Mixed
